Day,Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate)
2026-06-11,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,0.34,10,0,0,34.0,0,0,0.0
2026-06-11,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,0.4,18,0,0,22.22,0,0,0.0
2026-06-12,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,44.19,6710,0,0,6.59,695,0.06,10.36
2026-06-12,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 02,4.34,130,0,0,33.38,1,4.34,0.77
2026-06-12,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,51.98,2063,0,0,25.2,24,2.17,1.16
2026-06-12,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,73.65,5038,0,0,14.62,30,2.46,0.6
2026-06-12,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,30.89,2265,0,0,13.64,13,2.38,0.57
2026-06-12,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02,0.84,15,0,0,56.0,0,0,0.0
2026-06-12,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03,3.54,217,0,0,16.31,0,0,0.0
2026-06-12,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,0.01,2,0,0,5.0,0,0,0.0
2026-06-12,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,32.55,983,0,0,33.11,13,2.5,1.32
2026-06-12,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,5.1,274,0,0,18.61,4,1.27,1.46
2026-06-12,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,40.46,1854,0,0,21.82,35,1.16,1.89
2026-06-12,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,4.85,115,0,0,42.17,2,2.42,1.74
2026-06-12,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,14.97,508,0,0,29.47,4,3.74,0.79
2026-06-12,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,0.06,2,0,0,30.0,0,0,0.0
2026-06-12,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,1.78,31,0,0,57.42,0,0,0.0
2026-06-13,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,23.85,3724,0,0,6.4,430,0.06,11.55
2026-06-13,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,57.39,2000,0,0,28.7,32,1.79,1.6
2026-06-13,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,93.91,5972,0,0,15.73,50,1.88,0.84
